"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestCartSuite","5","TestCartSuite","","Sun Jan 11 23:03:54 UTC 2026","passed","Sun Jan 11 23:03:54 UTC 2026","","Unit","github.com/b0pof/ppo/internal/usecase/cart/TestCartSuite","TestCartSuite"
"Test cases for TestSuite","133","TestSuite","","Sun Jan 11 23:05:09 UTC 2026","passed","Sun Jan 11 23:05:09 UTC 2026","","Integration","github.com/b0pof/ppo/tests/integration/repository/TestSuite","TestSuite"
"Test cases for TestEqual","0","TestEqual","","Sun Jan 11 23:03:54 UTC 2026","passed","Sun Jan 11 23:03:54 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/password/TestEqual","TestEqual"
"Test cases for TestBadRequest","0","TestBadRequest","","Sun Jan 11 23:03:54 UTC 2026","passed","Sun Jan 11 23:03:54 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestBadRequest","TestBadRequest"
"Test cases for TestGetRole","0","TestGetRole","","Sun Jan 11 23:03:54 UTC 2026","passed","Sun Jan 11 23:03:54 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/auth/TestGetRole","TestGetRole"
"Test cases for TestGetUserID","0","TestGetUserID","","Sun Jan 11 23:03:54 UTC 2026","passed","Sun Jan 11 23:03:54 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/auth/TestGetUserID","TestGetUserID"
"Test cases for TestWithRole","0","TestWithRole","","Sun Jan 11 23:03:54 UTC 2026","passed","Sun Jan 11 23:03:54 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/auth/TestWithRole","TestWithRole"
"","129","TestSuite","","Sun Jan 11 23:06:34 UTC 2026","passed","Sun Jan 11 23:06:34 UTC 2026","","E2E","",""
"Test cases for TestAuthSuite","162","TestAuthSuite","","Sun Jan 11 23:03:54 UTC 2026","passed","Sun Jan 11 23:03:54 UTC 2026","","Unit","github.com/b0pof/ppo/internal/usecase/auth/TestAuthSuite","TestAuthSuite"
"Test cases for TestSuite","539","TestSuite","","Sun Jan 11 23:05:09 UTC 2026","passed","Sun Jan 11 23:05:10 UTC 2026","","Integration","github.com/b0pof/ppo/tests/integration/usecase/TestSuite","TestSuite"
"Test cases for TestOrderSuite","3","TestOrderSuite","","Sun Jan 11 23:03:54 UTC 2026","passed","Sun Jan 11 23:03:54 UTC 2026","","Unit","github.com/b0pof/ppo/internal/usecase/order/TestOrderSuite","TestOrderSuite"
"Test cases for TestGetSession","1","TestGetSession","","Sun Jan 11 23:03:54 UTC 2026","passed","Sun Jan 11 23:03:54 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/cookie/TestGetSession","TestGetSession"
"Test cases for TestWithUserID","0","TestWithUserID","","Sun Jan 11 23:03:54 UTC 2026","passed","Sun Jan 11 23:03:54 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/auth/TestWithUserID","TestWithUserID"
"Test cases for TestCartRepository","7","TestCartRepository","","Sun Jan 11 23:03:53 UTC 2026","passed","Sun Jan 11 23:03:53 UTC 2026","","Unit","github.com/b0pof/ppo/internal/repository/cart/TestCartRepository","TestCartRepository"
"Test cases for TestUserRepository","10","TestUserRepository","","Sun Jan 11 23:03:54 UTC 2026","passed","Sun Jan 11 23:03:54 UTC 2026","","Unit","github.com/b0pof/ppo/internal/repository/user/TestUserRepository","TestUserRepository"
"Test cases for TestOK","1","TestOK","","Sun Jan 11 23:03:54 UTC 2026","passed","Sun Jan 11 23:03:54 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestOK","TestOK"
"Test cases for TestUserSuite","266","TestUserSuite","","Sun Jan 11 23:03:54 UTC 2026","passed","Sun Jan 11 23:03:54 UTC 2026","","Unit","github.com/b0pof/ppo/internal/usecase/user/TestUserSuite","TestUserSuite"
"Test cases for TestOrderRepository","6","TestOrderRepository","","Sun Jan 11 23:03:53 UTC 2026","passed","Sun Jan 11 23:03:53 UTC 2026","","Unit","github.com/b0pof/ppo/internal/repository/order/TestOrderRepository","TestOrderRepository"
"Test cases for TestItemSuite","4","TestItemSuite","","Sun Jan 11 23:03:54 UTC 2026","passed","Sun Jan 11 23:03:54 UTC 2026","","Unit","github.com/b0pof/ppo/internal/usecase/item/TestItemSuite","TestItemSuite"
"Test cases for TestSetSession","0","TestSetSession","","Sun Jan 11 23:03:54 UTC 2026","passed","Sun Jan 11 23:03:54 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/cookie/TestSetSession","TestSetSession"
"Test cases for TestUnauthorized","0","TestUnauthorized","","Sun Jan 11 23:03:54 UTC 2026","passed","Sun Jan 11 23:03:54 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestUnauthorized","TestUnauthorized"
"Test cases for TestHash","0","TestHash","","Sun Jan 11 23:03:54 UTC 2026","passed","Sun Jan 11 23:03:54 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/password/TestHash","TestHash"
"Test cases for TestItemRepository","8","TestItemRepository","","Sun Jan 11 23:03:53 UTC 2026","passed","Sun Jan 11 23:03:53 UTC 2026","","Unit","github.com/b0pof/ppo/internal/repository/item/TestItemRepository","TestItemRepository"
"Test cases for TestForbidden","0","TestForbidden","","Sun Jan 11 23:03:54 UTC 2026","passed","Sun Jan 11 23:03:54 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestForbidden","TestForbidden"
