"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestOrderSuite","1","TestOrderSuite","","Sun Jan 11 23:15:06 UTC 2026","passed","Sun Jan 11 23:15:06 UTC 2026","","Unit","github.com/b0pof/ppo/internal/usecase/order/TestOrderSuite","TestOrderSuite"
"Test cases for TestBadRequest","0","TestBadRequest","","Sun Jan 11 23:15:06 UTC 2026","passed","Sun Jan 11 23:15:06 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestBadRequest","TestBadRequest"
"Test cases for TestItemRepository","6","TestItemRepository","","Sun Jan 11 23:15:05 UTC 2026","passed","Sun Jan 11 23:15:05 UTC 2026","","Unit","github.com/b0pof/ppo/internal/repository/item/TestItemRepository","TestItemRepository"
"Test cases for TestGetRole","0","TestGetRole","","Sun Jan 11 23:15:06 UTC 2026","passed","Sun Jan 11 23:15:06 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/auth/TestGetRole","TestGetRole"
"Test cases for TestAuthSuite","177","TestAuthSuite","","Sun Jan 11 23:15:05 UTC 2026","passed","Sun Jan 11 23:15:06 UTC 2026","","Unit","github.com/b0pof/ppo/internal/usecase/auth/TestAuthSuite","TestAuthSuite"
"Test cases for TestWithRole","0","TestWithRole","","Sun Jan 11 23:15:06 UTC 2026","passed","Sun Jan 11 23:15:06 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/auth/TestWithRole","TestWithRole"
"Test cases for TestUnauthorized","0","TestUnauthorized","","Sun Jan 11 23:15:06 UTC 2026","passed","Sun Jan 11 23:15:06 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestUnauthorized","TestUnauthorized"
"Test cases for TestSetSession","0","TestSetSession","","Sun Jan 11 23:15:06 UTC 2026","passed","Sun Jan 11 23:15:06 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/cookie/TestSetSession","TestSetSession"
"","130","TestSuite","","Sun Jan 11 23:17:43 UTC 2026","passed","Sun Jan 11 23:17:43 UTC 2026","","E2E","",""
"Test cases for TestUserSuite","270","TestUserSuite","","Sun Jan 11 23:15:06 UTC 2026","passed","Sun Jan 11 23:15:06 UTC 2026","","Unit","github.com/b0pof/ppo/internal/usecase/user/TestUserSuite","TestUserSuite"
"Test cases for TestGetUserID","0","TestGetUserID","","Sun Jan 11 23:15:06 UTC 2026","passed","Sun Jan 11 23:15:06 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/auth/TestGetUserID","TestGetUserID"
"Test cases for TestEqual","0","TestEqual","","Sun Jan 11 23:15:06 UTC 2026","passed","Sun Jan 11 23:15:06 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/password/TestEqual","TestEqual"
"Test cases for TestCartSuite","2","TestCartSuite","","Sun Jan 11 23:15:05 UTC 2026","passed","Sun Jan 11 23:15:05 UTC 2026","","Unit","github.com/b0pof/ppo/internal/usecase/cart/TestCartSuite","TestCartSuite"
"Test cases for TestGetSession","0","TestGetSession","","Sun Jan 11 23:15:06 UTC 2026","passed","Sun Jan 11 23:15:06 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/cookie/TestGetSession","TestGetSession"
"Test cases for TestHash","0","TestHash","","Sun Jan 11 23:15:06 UTC 2026","passed","Sun Jan 11 23:15:06 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/password/TestHash","TestHash"
"Test cases for TestOK","0","TestOK","","Sun Jan 11 23:15:06 UTC 2026","passed","Sun Jan 11 23:15:06 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestOK","TestOK"
"Test cases for TestOrderRepository","6","TestOrderRepository","","Sun Jan 11 23:15:05 UTC 2026","passed","Sun Jan 11 23:15:05 UTC 2026","","Unit","github.com/b0pof/ppo/internal/repository/order/TestOrderRepository","TestOrderRepository"
"Test cases for TestSuite","138","TestSuite","","Sun Jan 11 23:16:19 UTC 2026","passed","Sun Jan 11 23:16:19 UTC 2026","","Integration","github.com/b0pof/ppo/tests/integration/repository/TestSuite","TestSuite"
"Test cases for TestUserRepository","11","TestUserRepository","","Sun Jan 11 23:15:05 UTC 2026","passed","Sun Jan 11 23:15:05 UTC 2026","","Unit","github.com/b0pof/ppo/internal/repository/user/TestUserRepository","TestUserRepository"
"Test cases for TestItemSuite","5","TestItemSuite","","Sun Jan 11 23:15:06 UTC 2026","passed","Sun Jan 11 23:15:06 UTC 2026","","Unit","github.com/b0pof/ppo/internal/usecase/item/TestItemSuite","TestItemSuite"
"Test cases for TestForbidden","0","TestForbidden","","Sun Jan 11 23:15:06 UTC 2026","passed","Sun Jan 11 23:15:06 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestForbidden","TestForbidden"
"Test cases for TestSuite","542","TestSuite","","Sun Jan 11 23:16:20 UTC 2026","passed","Sun Jan 11 23:16:20 UTC 2026","","Integration","github.com/b0pof/ppo/tests/integration/usecase/TestSuite","TestSuite"
"Test cases for TestCartRepository","6","TestCartRepository","","Sun Jan 11 23:15:05 UTC 2026","passed","Sun Jan 11 23:15:05 UTC 2026","","Unit","github.com/b0pof/ppo/internal/repository/cart/TestCartRepository","TestCartRepository"
"Test cases for TestWithUserID","0","TestWithUserID","","Sun Jan 11 23:15:06 UTC 2026","passed","Sun Jan 11 23:15:06 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/auth/TestWithUserID","TestWithUserID"
